Kategori,Isi
Strategi,Rencana Proyek Rahasia Strategis Kode-205
HRD,Data Gaji NIK 5501 atas nama Karyawan-4
HRD,Data Gaji NIK 5606 atas nama Karyawan-38
HRD,Data Gaji NIK 5616 atas nama Karyawan-43
Strategi,Rencana Proyek Rahasia Strategis Kode-909
IT Security,Server IP 150.45 API: NFRUEACVIA
Strategi,Rencana Proyek Rahasia Strategis Kode-354
IT Security,Server IP 65.174 API: XEFHLBUVJC
IT Security,Server IP 131.2 API: FSYGSNZOUF
IT Security,Server IP 214.238 API: HEYJPPQQHX
HRD,Data Gaji NIK 3806 atas nama Karyawan-78
HRD,Data Gaji NIK 5385 atas nama Karyawan-69
HRD,Data Gaji NIK 7779 atas nama Karyawan-80
Strategi,Rencana Proyek Rahasia Strategis Kode-774
HRD,Data Gaji NIK 6566 atas nama Karyawan-60
IT Security,Server IP 55.35 API: TTCIQVWMBJ
Keuangan,Transfer Rp 72000000 ke Rekening 57517052
Strategi,Rencana Proyek Rahasia Strategis Kode-702
Strategi,Rencana Proyek Rahasia Strategis Kode-138
IT Security,Server IP 36.29 API: GZZFRYQVUT
Strategi,Rencana Proyek Rahasia Strategis Kode-300
Strategi,Rencana Proyek Rahasia Strategis Kode-584
Keuangan,Transfer Rp 6000000 ke Rekening 62265691
IT Security,Server IP 16.170 API: DNCHTVOVTC
Strategi,Rencana Proyek Rahasia Strategis Kode-898
Keuangan,Transfer Rp 58000000 ke Rekening 56731419
Keuangan,Transfer Rp 46000000 ke Rekening 96674117
HRD,Data Gaji NIK 7929 atas nama Karyawan-6
IT Security,Server IP 203.91 API: IGACTRBWIU
IT Security,Server IP 254.94 API: GHSFRGXZAU
HRD,Data Gaji NIK 3748 atas nama Karyawan-87
Keuangan,Transfer Rp 53000000 ke Rekening 15565017
Strategi,Rencana Proyek Rahasia Strategis Kode-955
Strategi,Rencana Proyek Rahasia Strategis Kode-885
IT Security,Server IP 247.204 API: LVXEUWDTTT
Keuangan,Transfer Rp 39000000 ke Rekening 93030852
Strategi,Rencana Proyek Rahasia Strategis Kode-331
IT Security,Server IP 89.50 API: GVPDYRVNQZ
HRD,Data Gaji NIK 6104 atas nama Karyawan-97
HRD,Data Gaji NIK 9844 atas nama Karyawan-19
Strategi,Rencana Proyek Rahasia Strategis Kode-609
Strategi,Rencana Proyek Rahasia Strategis Kode-984
Keuangan,Transfer Rp 95000000 ke Rekening 70241108
HRD,Data Gaji NIK 2559 atas nama Karyawan-75
IT Security,Server IP 197.116 API: MMOWBDVGIZ
Strategi,Rencana Proyek Rahasia Strategis Kode-318
Keuangan,Transfer Rp 92000000 ke Rekening 99360689
HRD,Data Gaji NIK 6518 atas nama Karyawan-11
Keuangan,Transfer Rp 3000000 ke Rekening 31007612
Strategi,Rencana Proyek Rahasia Strategis Kode-652
Keuangan,Transfer Rp 97000000 ke Rekening 72524096
Keuangan,Transfer Rp 8000000 ke Rekening 13941629
HRD,Data Gaji NIK 3949 atas nama Karyawan-29
IT Security,Server IP 156.136 API: RBPRUBDSBC
Keuangan,Transfer Rp 45000000 ke Rekening 51132088
Keuangan,Transfer Rp 74000000 ke Rekening 79816419
Keuangan,Transfer Rp 61000000 ke Rekening 53113701
IT Security,Server IP 52.168 API: PZKMUKGSTY
Keuangan,Transfer Rp 85000000 ke Rekening 11739022
Strategi,Rencana Proyek Rahasia Strategis Kode-351
HRD,Data Gaji NIK 1499 atas nama Karyawan-10
HRD,Data Gaji NIK 6973 atas nama Karyawan-51
Keuangan,Transfer Rp 70000000 ke Rekening 14592651
IT Security,Server IP 105.20 API: NMSMLQQZEW
Keuangan,Transfer Rp 21000000 ke Rekening 93118456
Keuangan,Transfer Rp 16000000 ke Rekening 25306354
Strategi,Rencana Proyek Rahasia Strategis Kode-601
IT Security,Server IP 114.223 API: NQIVFYAQTW
IT Security,Server IP 57.102 API: QSFBQAUERV
IT Security,Server IP 112.5 API: XCINAPFOKS
Keuangan,Transfer Rp 48000000 ke Rekening 21261579
Strategi,Rencana Proyek Rahasia Strategis Kode-401
IT Security,Server IP 150.195 API: RHQWTUDWGK
HRD,Data Gaji NIK 6479 atas nama Karyawan-1
IT Security,Server IP 127.227 API: HOJUPMUVJL
Strategi,Rencana Proyek Rahasia Strategis Kode-382
Strategi,Rencana Proyek Rahasia Strategis Kode-909
HRD,Data Gaji NIK 7906 atas nama Karyawan-45
Keuangan,Transfer Rp 55000000 ke Rekening 28451186
HRD,Data Gaji NIK 9966 atas nama Karyawan-88
IT Security,Server IP 147.47 API: GYAIPROQVT
Strategi,Rencana Proyek Rahasia Strategis Kode-350
Keuangan,Transfer Rp 19000000 ke Rekening 30114747
Keuangan,Transfer Rp 85000000 ke Rekening 85896142
HRD,Data Gaji NIK 5926 atas nama Karyawan-48
HRD,Data Gaji NIK 2986 atas nama Karyawan-71
Keuangan,Transfer Rp 72000000 ke Rekening 24384162
IT Security,Server IP 61.205 API: FUWBDJJICI
IT Security,Server IP 215.244 API: FSYKIKZMTW
HRD,Data Gaji NIK 9315 atas nama Karyawan-68
Strategi,Rencana Proyek Rahasia Strategis Kode-591
Keuangan,Transfer Rp 14000000 ke Rekening 56703567
IT Security,Server IP 239.83 API: IYIBBHNDTW
Keuangan,Transfer Rp 31000000 ke Rekening 36101285
Keuangan,Transfer Rp 71000000 ke Rekening 44379524
IT Security,Server IP 159.198 API: OWHHFYMSAO
HRD,Data Gaji NIK 8284 atas nama Karyawan-68
IT Security,Server IP 13.108 API: PNJFLSEOSY
Strategi,Rencana Proyek Rahasia Strategis Kode-357
Strategi,Rencana Proyek Rahasia Strategis Kode-399
Keuangan,Transfer Rp 34000000 ke Rekening 26112917
IT Security,Server IP 143.50 API: HEMSVJIDNP
HRD,Data Gaji NIK 6147 atas nama Karyawan-42
HRD,Data Gaji NIK 2281 atas nama Karyawan-26
IT Security,Server IP 101.70 API: FZVDQFWGWH
IT Security,Server IP 36.136 API: FKPTCCXOIP
Strategi,Rencana Proyek Rahasia Strategis Kode-154
IT Security,Server IP 104.201 API: YJLOQEXUVE
Keuangan,Transfer Rp 80000000 ke Rekening 77425487
Keuangan,Transfer Rp 59000000 ke Rekening 50144402
HRD,Data Gaji NIK 7463 atas nama Karyawan-14
HRD,Data Gaji NIK 6866 atas nama Karyawan-27
IT Security,Server IP 105.206 API: DDADSRFJFJ
Keuangan,Transfer Rp 28000000 ke Rekening 53392517
HRD,Data Gaji NIK 3080 atas nama Karyawan-18
IT Security,Server IP 81.214 API: MYYGJPGFQH
HRD,Data Gaji NIK 2821 atas nama Karyawan-32
HRD,Data Gaji NIK 2107 atas nama Karyawan-85
Strategi,Rencana Proyek Rahasia Strategis Kode-823
Strategi,Rencana Proyek Rahasia Strategis Kode-712
IT Security,Server IP 104.235 API: FGXDKRFXFW
IT Security,Server IP 174.187 API: IATOQJGJNI
IT Security,Server IP 244.164 API: GRBRDTPELE
HRD,Data Gaji NIK 4469 atas nama Karyawan-62
IT Security,Server IP 71.89 API: CBNTYBJSBK
Keuangan,Transfer Rp 41000000 ke Rekening 34243692
HRD,Data Gaji NIK 8348 atas nama Karyawan-43
Strategi,Rencana Proyek Rahasia Strategis Kode-916
HRD,Data Gaji NIK 3372 atas nama Karyawan-99
Keuangan,Transfer Rp 52000000 ke Rekening 45671884
Strategi,Rencana Proyek Rahasia Strategis Kode-357
IT Security,Server IP 71.73 API: KAJCTUCIKX
HRD,Data Gaji NIK 2107 atas nama Karyawan-91
Keuangan,Transfer Rp 10000000 ke Rekening 97276639
IT Security,Server IP 82.242 API: WYGYIYKZFM
IT Security,Server IP 15.5 API: FWTMWTLIJJ
Strategi,Rencana Proyek Rahasia Strategis Kode-108
Keuangan,Transfer Rp 85000000 ke Rekening 16078389
HRD,Data Gaji NIK 3228 atas nama Karyawan-97
HRD,Data Gaji NIK 6670 atas nama Karyawan-98
IT Security,Server IP 37.200 API: UOPELQMNNY
HRD,Data Gaji NIK 7505 atas nama Karyawan-80
IT Security,Server IP 229.185 API: UEFYGXMNSK
IT Security,Server IP 225.81 API: AAVGRHLNCG
IT Security,Server IP 229.192 API: VNXJKWXVTF
HRD,Data Gaji NIK 4621 atas nama Karyawan-77
IT Security,Server IP 187.28 API: DBCKEPQIPY
IT Security,Server IP 249.98 API: RSTTHKUMKX
Keuangan,Transfer Rp 75000000 ke Rekening 79898580
HRD,Data Gaji NIK 3390 atas nama Karyawan-100
Keuangan,Transfer Rp 17000000 ke Rekening 64188451
Strategi,Rencana Proyek Rahasia Strategis Kode-312
IT Security,Server IP 251.212 API: TZTGJMBVLC
Keuangan,Transfer Rp 26000000 ke Rekening 22846285
IT Security,Server IP 63.130 API: SCHEJDQTXJ
Strategi,Rencana Proyek Rahasia Strategis Kode-934
Strategi,Rencana Proyek Rahasia Strategis Kode-754
IT Security,Server IP 110.143 API: TIXZYDOXFN
HRD,Data Gaji NIK 7549 atas nama Karyawan-72
Strategi,Rencana Proyek Rahasia Strategis Kode-507
IT Security,Server IP 202.11 API: JLXCGKSEJS
Strategi,Rencana Proyek Rahasia Strategis Kode-116
Strategi,Rencana Proyek Rahasia Strategis Kode-664
HRD,Data Gaji NIK 8410 atas nama Karyawan-63
HRD,Data Gaji NIK 7366 atas nama Karyawan-31
IT Security,Server IP 10.66 API: MEFFSPCRVR
Strategi,Rencana Proyek Rahasia Strategis Kode-137
HRD,Data Gaji NIK 8473 atas nama Karyawan-26
IT Security,Server IP 159.151 API: QXFQXJXCTR
HRD,Data Gaji NIK 4137 atas nama Karyawan-80
IT Security,Server IP 180.22 API: YWCGOHENOW
HRD,Data Gaji NIK 3351 atas nama Karyawan-17
IT Security,Server IP 97.58 API: WPTKDILZPE
HRD,Data Gaji NIK 1021 atas nama Karyawan-2
Keuangan,Transfer Rp 49000000 ke Rekening 19126303
Keuangan,Transfer Rp 35000000 ke Rekening 47679298
HRD,Data Gaji NIK 8889 atas nama Karyawan-86
IT Security,Server IP 84.19 API: GBYEPKHMKE
HRD,Data Gaji NIK 6472 atas nama Karyawan-45
Strategi,Rencana Proyek Rahasia Strategis Kode-137
HRD,Data Gaji NIK 5416 atas nama Karyawan-16
Keuangan,Transfer Rp 98000000 ke Rekening 53785727
IT Security,Server IP 51.254 API: JOBMCJUGFB
Strategi,Rencana Proyek Rahasia Strategis Kode-280
IT Security,Server IP 249.220 API: TAGHQEREUM
Keuangan,Transfer Rp 68000000 ke Rekening 91316292
IT Security,Server IP 115.69 API: MPQMDZXZMR
IT Security,Server IP 206.175 API: EVRHMVVCKA
Keuangan,Transfer Rp 76000000 ke Rekening 90204976
IT Security,Server IP 220.87 API: LLOSSKWJMI
Strategi,Rencana Proyek Rahasia Strategis Kode-154
HRD,Data Gaji NIK 1514 atas nama Karyawan-13
Keuangan,Transfer Rp 74000000 ke Rekening 56207592
HRD,Data Gaji NIK 1072 atas nama Karyawan-38
IT Security,Server IP 91.91 API: AFNDFZZCCU
IT Security,Server IP 169.6 API: AZJSGKLXXG
HRD,Data Gaji NIK 4677 atas nama Karyawan-39
IT Security,Server IP 96.193 API: ZEIEIJCNDZ
Strategi,Rencana Proyek Rahasia Strategis Kode-759
Strategi,Rencana Proyek Rahasia Strategis Kode-779
IT Security,Server IP 209.192 API: RQKPKGBEGV
IT Security,Server IP 28.157 API: EZCVNBCQID
IT Security,Server IP 183.207 API: YKROFMBKVK
Strategi,Rencana Proyek Rahasia Strategis Kode-232
IT Security,Server IP 21.116 API: IGVYBUZMZQ
Strategi,Rencana Proyek Rahasia Strategis Kode-764
Strategi,Rencana Proyek Rahasia Strategis Kode-531
HRD,Data Gaji NIK 9962 atas nama Karyawan-8
Keuangan,Transfer Rp 64000000 ke Rekening 38867280
IT Security,Server IP 5.46 API: GJDTHNDOBD
IT Security,Server IP 72.72 API: XSTDZREPAS
Keuangan,Transfer Rp 7000000 ke Rekening 12950368
IT Security,Server IP 134.144 API: TXBPMHMIMJ
IT Security,Server IP 76.34 API: JORPVEULPO
Strategi,Rencana Proyek Rahasia Strategis Kode-756
HRD,Data Gaji NIK 6722 atas nama Karyawan-82
Keuangan,Transfer Rp 44000000 ke Rekening 40278488
HRD,Data Gaji NIK 9795 atas nama Karyawan-96
Strategi,Rencana Proyek Rahasia Strategis Kode-688
Strategi,Rencana Proyek Rahasia Strategis Kode-315
HRD,Data Gaji NIK 7206 atas nama Karyawan-40
Strategi,Rencana Proyek Rahasia Strategis Kode-598
Keuangan,Transfer Rp 89000000 ke Rekening 27662500
HRD,Data Gaji NIK 3098 atas nama Karyawan-30
HRD,Data Gaji NIK 9836 atas nama Karyawan-16
HRD,Data Gaji NIK 1225 atas nama Karyawan-80
IT Security,Server IP 143.218 API: YPRDFDDXLD
HRD,Data Gaji NIK 8914 atas nama Karyawan-8
Keuangan,Transfer Rp 26000000 ke Rekening 22314052
Strategi,Rencana Proyek Rahasia Strategis Kode-145
Keuangan,Transfer Rp 20000000 ke Rekening 95515743
HRD,Data Gaji NIK 5554 atas nama Karyawan-30
IT Security,Server IP 38.111 API: AKICWWUPDS
HRD,Data Gaji NIK 2305 atas nama Karyawan-66
Strategi,Rencana Proyek Rahasia Strategis Kode-978
Keuangan,Transfer Rp 100000000 ke Rekening 12740070
IT Security,Server IP 214.40 API: HDABFBIZYA
IT Security,Server IP 96.84 API: JKMDJJTUJQ
HRD,Data Gaji NIK 2381 atas nama Karyawan-29
IT Security,Server IP 139.78 API: QLVTGPMDOE
Strategi,Rencana Proyek Rahasia Strategis Kode-979
Keuangan,Transfer Rp 18000000 ke Rekening 42140262
IT Security,Server IP 139.184 API: UXIRFQTRCB
Strategi,Rencana Proyek Rahasia Strategis Kode-572
HRD,Data Gaji NIK 2732 atas nama Karyawan-22
HRD,Data Gaji NIK 8813 atas nama Karyawan-27
HRD,Data Gaji NIK 4801 atas nama Karyawan-12
IT Security,Server IP 48.18 API: WPPDGIJQUL
HRD,Data Gaji NIK 3597 atas nama Karyawan-98
Strategi,Rencana Proyek Rahasia Strategis Kode-834
Keuangan,Transfer Rp 8000000 ke Rekening 74564665
IT Security,Server IP 133.48 API: LOZEIFYEAA
IT Security,Server IP 173.157 API: UTTXJDYSVT
HRD,Data Gaji NIK 5483 atas nama Karyawan-88
Strategi,Rencana Proyek Rahasia Strategis Kode-478
Strategi,Rencana Proyek Rahasia Strategis Kode-416
HRD,Data Gaji NIK 8399 atas nama Karyawan-7
HRD,Data Gaji NIK 1766 atas nama Karyawan-26
Strategi,Rencana Proyek Rahasia Strategis Kode-909
Strategi,Rencana Proyek Rahasia Strategis Kode-215
HRD,Data Gaji NIK 5351 atas nama Karyawan-95
Keuangan,Transfer Rp 37000000 ke Rekening 79789298
HRD,Data Gaji NIK 1091 atas nama Karyawan-11
Strategi,Rencana Proyek Rahasia Strategis Kode-550
Keuangan,Transfer Rp 100000000 ke Rekening 81100410
Keuangan,Transfer Rp 53000000 ke Rekening 58354795
IT Security,Server IP 194.155 API: CWVNJZZAQE
HRD,Data Gaji NIK 2171 atas nama Karyawan-9
Strategi,Rencana Proyek Rahasia Strategis Kode-509
Keuangan,Transfer Rp 52000000 ke Rekening 28908761
HRD,Data Gaji NIK 1976 atas nama Karyawan-78
Keuangan,Transfer Rp 85000000 ke Rekening 73775738
Keuangan,Transfer Rp 9000000 ke Rekening 83781336
Keuangan,Transfer Rp 61000000 ke Rekening 61050911
Keuangan,Transfer Rp 63000000 ke Rekening 20351681
Keuangan,Transfer Rp 70000000 ke Rekening 77260766
Strategi,Rencana Proyek Rahasia Strategis Kode-913
IT Security,Server IP 156.219 API: HUJEEKMQTY
IT Security,Server IP 84.93 API: JGHDSJMBXH
Strategi,Rencana Proyek Rahasia Strategis Kode-488
IT Security,Server IP 39.120 API: KEVTGXTDHD
Strategi,Rencana Proyek Rahasia Strategis Kode-933
Keuangan,Transfer Rp 35000000 ke Rekening 89243077
HRD,Data Gaji NIK 2301 atas nama Karyawan-18
HRD,Data Gaji NIK 8479 atas nama Karyawan-80
HRD,Data Gaji NIK 3143 atas nama Karyawan-61
Keuangan,Transfer Rp 12000000 ke Rekening 32495589
Strategi,Rencana Proyek Rahasia Strategis Kode-498
HRD,Data Gaji NIK 8264 atas nama Karyawan-27
IT Security,Server IP 2.45 API: QFCMCBWQLT
IT Security,Server IP 18.77 API: VRFGZGVNMW
Strategi,Rencana Proyek Rahasia Strategis Kode-660
Strategi,Rencana Proyek Rahasia Strategis Kode-950
IT Security,Server IP 244.124 API: SKIUYVIHPY
HRD,Data Gaji NIK 5080 atas nama Karyawan-48
Keuangan,Transfer Rp 90000000 ke Rekening 26070032
Strategi,Rencana Proyek Rahasia Strategis Kode-481
HRD,Data Gaji NIK 2662 atas nama Karyawan-73
IT Security,Server IP 39.219 API: QSMQDKDRVZ
Keuangan,Transfer Rp 20000000 ke Rekening 70220664
Strategi,Rencana Proyek Rahasia Strategis Kode-415
Keuangan,Transfer Rp 94000000 ke Rekening 46309587
Strategi,Rencana Proyek Rahasia Strategis Kode-895
Strategi,Rencana Proyek Rahasia Strategis Kode-439
Keuangan,Transfer Rp 47000000 ke Rekening 60660723
HRD,Data Gaji NIK 5476 atas nama Karyawan-51
IT Security,Server IP 141.23 API: PJVWMKJNZR
Keuangan,Transfer Rp 45000000 ke Rekening 41355355
Keuangan,Transfer Rp 64000000 ke Rekening 34475551
IT Security,Server IP 95.19 API: DSMOWGBXHT
Keuangan,Transfer Rp 71000000 ke Rekening 15135786
Strategi,Rencana Proyek Rahasia Strategis Kode-964
HRD,Data Gaji NIK 4319 atas nama Karyawan-25
Keuangan,Transfer Rp 27000000 ke Rekening 32632443
Strategi,Rencana Proyek Rahasia Strategis Kode-702
HRD,Data Gaji NIK 7072 atas nama Karyawan-29
Keuangan,Transfer Rp 58000000 ke Rekening 65391922
IT Security,Server IP 96.140 API: TCYHKKQWUL
IT Security,Server IP 160.89 API: GWQZBFCRND
HRD,Data Gaji NIK 1008 atas nama Karyawan-24
Strategi,Rencana Proyek Rahasia Strategis Kode-100
HRD,Data Gaji NIK 6644 atas nama Karyawan-28
Keuangan,Transfer Rp 22000000 ke Rekening 46471554
Keuangan,Transfer Rp 14000000 ke Rekening 33204138
Keuangan,Transfer Rp 68000000 ke Rekening 58003912
IT Security,Server IP 8.70 API: JLVUTACLLJ
HRD,Data Gaji NIK 1350 atas nama Karyawan-33
Strategi,Rencana Proyek Rahasia Strategis Kode-139
HRD,Data Gaji NIK 9001 atas nama Karyawan-71
IT Security,Server IP 207.236 API: RZVSCXVUEE
Strategi,Rencana Proyek Rahasia Strategis Kode-339
IT Security,Server IP 109.226 API: GABTLPZRKO
Strategi,Rencana Proyek Rahasia Strategis Kode-252
IT Security,Server IP 63.253 API: WVNGAYIASQ
Strategi,Rencana Proyek Rahasia Strategis Kode-554
IT Security,Server IP 228.140 API: MWPHSEDAKO
Strategi,Rencana Proyek Rahasia Strategis Kode-631
HRD,Data Gaji NIK 1686 atas nama Karyawan-6
Keuangan,Transfer Rp 54000000 ke Rekening 13038034
Keuangan,Transfer Rp 53000000 ke Rekening 39055156
IT Security,Server IP 181.255 API: BKDKBXYLXK
IT Security,Server IP 142.61 API: NVUHFQOKDA
IT Security,Server IP 150.27 API: QGNJBDZFMY
Keuangan,Transfer Rp 93000000 ke Rekening 32113210
HRD,Data Gaji NIK 4107 atas nama Karyawan-54
Strategi,Rencana Proyek Rahasia Strategis Kode-797
Strategi,Rencana Proyek Rahasia Strategis Kode-735
Keuangan,Transfer Rp 53000000 ke Rekening 68391778
Strategi,Rencana Proyek Rahasia Strategis Kode-609
Strategi,Rencana Proyek Rahasia Strategis Kode-760
Strategi,Rencana Proyek Rahasia Strategis Kode-638
HRD,Data Gaji NIK 9433 atas nama Karyawan-52
IT Security,Server IP 16.186 API: NXLPTYUGOW
Strategi,Rencana Proyek Rahasia Strategis Kode-780
Strategi,Rencana Proyek Rahasia Strategis Kode-140
Keuangan,Transfer Rp 61000000 ke Rekening 96808835
Strategi,Rencana Proyek Rahasia Strategis Kode-690
Strategi,Rencana Proyek Rahasia Strategis Kode-593
Strategi,Rencana Proyek Rahasia Strategis Kode-357
HRD,Data Gaji NIK 6203 atas nama Karyawan-58
Keuangan,Transfer Rp 68000000 ke Rekening 51714567
Keuangan,Transfer Rp 73000000 ke Rekening 59096774
HRD,Data Gaji NIK 4411 atas nama Karyawan-19
Strategi,Rencana Proyek Rahasia Strategis Kode-883
IT Security,Server IP 212.164 API: YOKNQWZFJB
IT Security,Server IP 98.215 API: FCRKCXHDNV
HRD,Data Gaji NIK 2980 atas nama Karyawan-9
Keuangan,Transfer Rp 82000000 ke Rekening 93065236
Keuangan,Transfer Rp 60000000 ke Rekening 16075508
Keuangan,Transfer Rp 54000000 ke Rekening 91255622
HRD,Data Gaji NIK 4065 atas nama Karyawan-55
Strategi,Rencana Proyek Rahasia Strategis Kode-661
Keuangan,Transfer Rp 27000000 ke Rekening 82519368
IT Security,Server IP 169.168 API: VWLZUVZPKG
Strategi,Rencana Proyek Rahasia Strategis Kode-256
HRD,Data Gaji NIK 5794 atas nama Karyawan-7
HRD,Data Gaji NIK 8210 atas nama Karyawan-31
Strategi,Rencana Proyek Rahasia Strategis Kode-712
Keuangan,Transfer Rp 85000000 ke Rekening 14615963
HRD,Data Gaji NIK 9969 atas nama Karyawan-97
IT Security,Server IP 169.247 API: YIOZCSHUQJ
HRD,Data Gaji NIK 9271 atas nama Karyawan-15
Keuangan,Transfer Rp 88000000 ke Rekening 77604699
Keuangan,Transfer Rp 66000000 ke Rekening 16236609
HRD,Data Gaji NIK 7398 atas nama Karyawan-93
HRD,Data Gaji NIK 4400 atas nama Karyawan-79
HRD,Data Gaji NIK 5590 atas nama Karyawan-18
HRD,Data Gaji NIK 1562 atas nama Karyawan-53
HRD,Data Gaji NIK 6300 atas nama Karyawan-75
IT Security,Server IP 198.177 API: HLORTFKLFM
Strategi,Rencana Proyek Rahasia Strategis Kode-775
IT Security,Server IP 182.132 API: PFOMURTEFD
Keuangan,Transfer Rp 4000000 ke Rekening 83194720
HRD,Data Gaji NIK 9440 atas nama Karyawan-36
Strategi,Rencana Proyek Rahasia Strategis Kode-770
Keuangan,Transfer Rp 3000000 ke Rekening 73670157
IT Security,Server IP 118.147 API: LLNOJOCBAC
HRD,Data Gaji NIK 8223 atas nama Karyawan-10
Strategi,Rencana Proyek Rahasia Strategis Kode-230
HRD,Data Gaji NIK 3299 atas nama Karyawan-32
Keuangan,Transfer Rp 63000000 ke Rekening 69383288
Strategi,Rencana Proyek Rahasia Strategis Kode-779
HRD,Data Gaji NIK 3964 atas nama Karyawan-37
HRD,Data Gaji NIK 5553 atas nama Karyawan-56
HRD,Data Gaji NIK 7330 atas nama Karyawan-77
Strategi,Rencana Proyek Rahasia Strategis Kode-170
Strategi,Rencana Proyek Rahasia Strategis Kode-430
Keuangan,Transfer Rp 21000000 ke Rekening 72166188
Keuangan,Transfer Rp 55000000 ke Rekening 41970608
HRD,Data Gaji NIK 4955 atas nama Karyawan-83
IT Security,Server IP 53.200 API: KPCTAVEOCV
IT Security,Server IP 253.34 API: CIIKFDCEAM
Keuangan,Transfer Rp 55000000 ke Rekening 70834971
IT Security,Server IP 126.156 API: WURQBWEQZO
Keuangan,Transfer Rp 22000000 ke Rekening 42135376
Strategi,Rencana Proyek Rahasia Strategis Kode-435
Keuangan,Transfer Rp 79000000 ke Rekening 66652905
HRD,Data Gaji NIK 1868 atas nama Karyawan-98
Strategi,Rencana Proyek Rahasia Strategis Kode-338
HRD,Data Gaji NIK 7626 atas nama Karyawan-90
Keuangan,Transfer Rp 74000000 ke Rekening 27675096
Strategi,Rencana Proyek Rahasia Strategis Kode-204
IT Security,Server IP 40.232 API: YCODNUQECR
HRD,Data Gaji NIK 8424 atas nama Karyawan-38
IT Security,Server IP 113.10 API: DBEMIIKZAP
IT Security,Server IP 69.255 API: LTBJDJNYVR
IT Security,Server IP 25.161 API: TVTWARJFDH
HRD,Data Gaji NIK 1932 atas nama Karyawan-90
Strategi,Rencana Proyek Rahasia Strategis Kode-989
IT Security,Server IP 129.79 API: GVPWPZOYPH
Strategi,Rencana Proyek Rahasia Strategis Kode-698
HRD,Data Gaji NIK 9956 atas nama Karyawan-77
Strategi,Rencana Proyek Rahasia Strategis Kode-808
HRD,Data Gaji NIK 4164 atas nama Karyawan-48
IT Security,Server IP 5.138 API: LTOCIYETJG
Keuangan,Transfer Rp 69000000 ke Rekening 27271287
Strategi,Rencana Proyek Rahasia Strategis Kode-531
Keuangan,Transfer Rp 78000000 ke Rekening 18781517
HRD,Data Gaji NIK 5810 atas nama Karyawan-20
Keuangan,Transfer Rp 31000000 ke Rekening 27325503
Strategi,Rencana Proyek Rahasia Strategis Kode-135
IT Security,Server IP 5.201 API: SGIUSXDYUC
HRD,Data Gaji NIK 6500 atas nama Karyawan-47
IT Security,Server IP 111.105 API: TVFQMVHOZQ
IT Security,Server IP 243.214 API: WALYKXZYPK
IT Security,Server IP 235.143 API: DRTDHBCXHL
Strategi,Rencana Proyek Rahasia Strategis Kode-642
Keuangan,Transfer Rp 53000000 ke Rekening 27387666
Keuangan,Transfer Rp 90000000 ke Rekening 45670902
HRD,Data Gaji NIK 8594 atas nama Karyawan-13
Strategi,Rencana Proyek Rahasia Strategis Kode-550
Strategi,Rencana Proyek Rahasia Strategis Kode-627
Keuangan,Transfer Rp 51000000 ke Rekening 65316440
IT Security,Server IP 104.200 API: PIIKTDIUOQ
IT Security,Server IP 210.229 API: RSPIGUASCP
Strategi,Rencana Proyek Rahasia Strategis Kode-866
IT Security,Server IP 28.184 API: HVBMKDBZHK
IT Security,Server IP 91.193 API: WZXMXRGTGT
HRD,Data Gaji NIK 2707 atas nama Karyawan-65
IT Security,Server IP 67.22 API: ILQXHXTLMS
IT Security,Server IP 144.234 API: QZOSLVHRWU
Strategi,Rencana Proyek Rahasia Strategis Kode-815
Strategi,Rencana Proyek Rahasia Strategis Kode-406
Strategi,Rencana Proyek Rahasia Strategis Kode-114
Strategi,Rencana Proyek Rahasia Strategis Kode-186
Strategi,Rencana Proyek Rahasia Strategis Kode-297
Keuangan,Transfer Rp 97000000 ke Rekening 44936461
IT Security,Server IP 80.135 API: LMDHKWMZNU
HRD,Data Gaji NIK 3799 atas nama Karyawan-21
IT Security,Server IP 54.157 API: CBETESVGWA
IT Security,Server IP 193.32 API: JJFILTBAPR
Keuangan,Transfer Rp 76000000 ke Rekening 24852403
Keuangan,Transfer Rp 70000000 ke Rekening 34029690
HRD,Data Gaji NIK 7621 atas nama Karyawan-83
HRD,Data Gaji NIK 3660 atas nama Karyawan-16
IT Security,Server IP 153.197 API: IRALUEYIJX
Keuangan,Transfer Rp 69000000 ke Rekening 69724144
Strategi,Rencana Proyek Rahasia Strategis Kode-327
HRD,Data Gaji NIK 9979 atas nama Karyawan-78
HRD,Data Gaji NIK 5546 atas nama Karyawan-60
HRD,Data Gaji NIK 1728 atas nama Karyawan-63
IT Security,Server IP 207.143 API: XHBSUSGBHQ
Strategi,Rencana Proyek Rahasia Strategis Kode-784
Keuangan,Transfer Rp 4000000 ke Rekening 86040681
Strategi,Rencana Proyek Rahasia Strategis Kode-367
Keuangan,Transfer Rp 38000000 ke Rekening 34745998
HRD,Data Gaji NIK 6411 atas nama Karyawan-49
HRD,Data Gaji NIK 8390 atas nama Karyawan-1
Strategi,Rencana Proyek Rahasia Strategis Kode-113
Strategi,Rencana Proyek Rahasia Strategis Kode-103
Strategi,Rencana Proyek Rahasia Strategis Kode-343
Keuangan,Transfer Rp 44000000 ke Rekening 70648258
HRD,Data Gaji NIK 1082 atas nama Karyawan-94
Keuangan,Transfer Rp 95000000 ke Rekening 46430958
Keuangan,Transfer Rp 52000000 ke Rekening 60339442
IT Security,Server IP 153.7 API: VAERDGEHKX
